"entidad";"jurisdiccion";"municipio";"localidad";"consultorios";"camas_censables";"camas_no_censables";"mdc_gral_esp_odon";"per_medico_en_adiestramiento";"medicos_en_otras_act";"per_de_enfermeria_en_contacto_c_paciente";"per_de_enfermerica_en_otras_labores";"otro_per_prof";"per_tec";"otro_per"
"VERACRUZ DE IGNACIO DE LA LLAVE";"SAN ANDRES TUXTLA";"SANTIAGO TUXTLA";"SANTIAGO TUXTLA";5;0;0;9;1;0;12;0;3;2;4
"VERACRUZ DE IGNACIO DE LA LLAVE";"SAN ANDRES TUXTLA";"SALTABARRANCA";"SALTABARRANCA";3;0;0;3;1;0;2;0;0;0;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"ACAJETE";"ACOCOTA";2;0;0;2;0;0;1;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"MARTINEZ DE LA TORRE";"MARTINEZ DE LA TORRE";"HUIPILTEPEC";2;0;0;0;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"CHOCAMAN";"CHOCAMAN";5;0;0;6;1;0;8;0;2;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ASTACINGA";"ASTACINGA";3;0;0;1;1;0;2;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"OZULUAMA DE MASCAREÑAS";"BELISARIO DOMINGUEZ (SAN GREGORIO)";2;0;0;1;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"TAMPICO ALTO";"KILOMETRO SETENTA Y NUEVE";2;0;0;2;0;0;2;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"SAN ANDRES TUXTLA";"SAN JUAN EVANGELISTA";"LA LIMA";2;0;0;1;0;0;2;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"PANUCO";"TLAXCALITA";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"PANUCO";"OVIEDO";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"CHICONAMEL";"TANCAZAHUELA";3;0;0;2;0;0;2;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"MECATLAN";"MECATLAN";3;0;0;2;0;0;4;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"CHICONTEPEC";"TEMOCTLA";2;0;0;1;0;0;4;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"TAMPICO ALTO";"TRES MORILLOS";2;0;0;2;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"TAMPICO ALTO";"MORALES";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"XALAPA";"XALAPA-ENRIQUEZ";1;0;0;1;0;0;1;0;0;0;0
